n,id,n0,n1,n2,mstr
4,4,2,1,4,2,0,0,0;0,0,0,2
4,5,3,1,2,0,0,0,0,0,1,1,0,0
4,6,3,1,2,0,0,0,0,0,1,1,0,1
4,7,2,1,2,1,0,0,0;1,1,0,0
4,8,2,1,2,1,0,0,0;1,0,1,0
4,9,2,1,2,0,1,1,0
4,10,2,1,2,1,0,0,1;1,0,0,0
4,11,2,1,2,1,1,1,0
8,1,2,1,8,4,0,3,4
8,2,2,1,8,1,1,1,1
8,3,2,1,8,0,0,7,1
8,4,2,1,8,4,0,7,0
8,5,2,1,8,4,0,4,0;2,2,2,2
8,7,2,8,14,0,0,0,1;0,0,2,0
8,8,2,1,4,0,1,0,0;2,0,0,0
8,10,2,1,4,0,0,3,0;2,0,0,0
8,11,2,1,4,0,0,3,0;2,0,0,2
8,13,2,1,4,0,1,2,1
8,15,2,1,4,0,0,2,0;3,2,0,0
8,16,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2;0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2
8,17,2,8,14,0,0,0,1;0,0,2,4
8,19,2,1,4,0,0,1,2;2,0,3,0
8,20,2,1,4,0,2,0,0;3,0,0,0
8,21,2,1,4,3,2,0,3
8,23,2,1,8,2,4,2,6
8,24,2,1,4,2,2,1,2
8,25,2,1,4,0,0,0,2;0,0,2,0;0,2,0,0
8,26,4,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0;0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,27,4,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0;0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
8,28,3,1,2,0,0,0,1,1,1,1,1,1;0,1,1,0,0,0,0,0,0
8,29,3,1,2,1,1,1,1,1,1,1,1,1;1,0,0,1,1,1,1,1,1
8,30,3,1,2,0,0,0,0,0,0,0,0,1;0,0,0,0,0,0,0,1,0;0,0,0,0,0,0,1,0,0
8,31,2,4,9,0,2,0,0;3,2,0,3
8,32,4,1,2,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0;0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
8,33,4,1,2,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0
8,34,3,1,2,0,0,0,1,0,0,1,0,0;1,1,1,1,1,1,1,1,1
8,35,4,1,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1
8,36,4,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1;0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
8,37,3,1,2,0,0,0,1,1,1,1,1,1;0,0,0,1,0,1,1,1,0
8,38,4,1,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
8,39,4,1,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0;0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
8,40,4,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,41,3,1,2,0,1,1,1,0,1,1,0,1
