n,id,str
2,1,2,1
3,1,2,3,1
4,1,2,3,4,1
4,2,1,2,4,3;2,1,3,4
5,1,2,3,4,5,1
6,1,1,3,2;2,1,3
6,2,1,3,2,5,6,4
7,1,2,3,4,5,6,7,1
8,2,1,2,3,4,6,5;2,3,4,1,5,6
8,3,1,2,4,3;3,4,1,2
8,4,4,5,6,9,3,2,7,1,8;6,4,8,3,1,9,7,2,5
10,1,1,3,2,5,4;2,1,4,3,5
10,2,2,1,4,5,6,7,3
12,2,2,3,1,5,6,7,4
12,3,1,3,4,2;2,1,4,3
12,4,1,2,3,5,4;2,1,4,3,5
12,5,3,2,1,8,5,6,7,4;1,2,3,8,6,7,5,4
18,3,1,2,3,4,6,5;2,3,1,5,4,6
20,3,1,3,2,5,4;2,3,4,1,5
20,4,3,2,1,8,4,7,5,6;1,2,3,4,8,7,6,5
24,5,1,2,6,7,9,3,4,8,5;1,2,8,9,4,6,5,3,7
24,6,1,2,6,7,9,3,4,8,5;1,2,9,8,5,6,7,4,3
24,12,1,2,4,3;2,3,1,4
24,13,1,2,3,4,6,5;2,5,4,6,1,3
36,9,4,5,6,9,3,2,7,1,8;5,6,9,4,1,2,8,7,3
36,10,2,3,5,6,4,1;2,3,6,5,1,4
40,12,3,2,1,8,4,7,5,6;1,2,3,4,6,8,5,7
48,48,1,2,3,4,6,5;2,1,4,5,3,6
60,5,1,2,4,5,3;2,3,1,4,5
72,40,1,2,3,4,6,5;2,3,5,6,1,4
72,41,4,5,6,9,3,2,7,1,8;6,1,7,4,2,5,9,3,8
72,44,1,2,6,7,9,3,4,8,5;1,2,6,4,7,8,9,3,5
120,34,1,2,3,5,4;2,3,4,1,5
120,35,3,2,1,8,5,4,7,6;1,2,3,4,8,7,6,5
