id,str
36,3
38,3
40,3
41,3
43,3
44,3
47,3
56,3
60,3
62,3
67,3
73,3
76,3
77,3
78,3
82,3
83,3
84,3
85,3
87,3
96,3
104,0
107,2
117,3
124,3
127,3
129,3
133,3
138,3
148,3
155,3
156,3
157,3
161,3
165,3
170,3
175,3
176,3
182,3
187,3
193,3
199,3
200,3
206,2
207,0
231,3
232,3
233,3
241,3
248,3
253,3
254,3
255,0
256,0
257,3
261,3
262,3
263,3
264,3
268,3
271,3
272,3
281,3
284,3
294,3
297,3
300,0
303,3
308,0
310,0
312,0
317,3
319,3
322,0
329,0
330,0
335,0
336,0
343,0
349,0
353,0
355,0
356,0
358,0
359,0
362,3
371,0
372,0
373,0
374,0
375,0
376,0
379,3
380,0
384,0
385,0
386,3
388,0
395,0
397,0
398,0
400,3
401,0
412,0
416,3
429,3
436,3
437,3
442,3
444,3
445,3
455,0
458,3
460,3
462,3
469,3
471,3
482,3
490,3
492,0
496,5
501,3
